timestamp_utc,config,commit,tree_state,program,binary,build_type,output,Ir,I1mr,ILmr,Dr,D1mr,DLmr,Dw,D1mw,DLmw,Bc,Bcm,Bi,Bim,D1_misses,LL_misses,branches,mispredicts,wall_runs,wall_median_ms,wall_min_ms,perf_cycles,perf_instructions,perf_ipc,arch,kernel,compiler,valgrind,image_digest
2026-08-29T16:56:23Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/fib32.algo,build-bench/algo,RelWithDebInfo,2178309,15996278997,14101364,2474,4865407017,9065271,8806,2691601848,5935209,2449,2602060421,71103553,190329469,497,15000480,13729,2792389890,71104050,10,867,865,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T16:57:39Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/loop10m.algo,build-bench/algo,RelWithDebInfo,10000000,13981640348,2816,2299,3860481281,17325,8760,1840187247,2937,1854,2610307833,50014077,140001972,473,20262,12913,2750309805,50014550,10,657,655,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T16:58:35Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/arith.algo,build-bench/algo,RelWithDebInfo,24000000,15081690575,2908,2352,4316495431,17494,8775,2064197533,3101,1985,2776315004,108014784,160002613,536,20595,13112,2936317617,108015320,10,844,837,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T16:59:43Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/vars.algo,build-bench/algo,RelWithDebInfo,136000000,12854818988,3064,2370,3452530665,4017925,8791,972220548,2003491,2184,3044335370,217015837,244004644,478,6021416,13345,3288340014,217016315,10,904,903,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T17:01:19Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/fib32.algo,build-bench/algo,RelWithDebInfo,2178309,15996278997,14101364,2474,4865407017,9065271,8806,2691601848,5935209,2449,2602060421,71103553,190329469,497,15000480,13729,2792389890,71104050,10,868,865,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T17:02:33Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/loop10m.algo,build-bench/algo,RelWithDebInfo,10000000,13981640348,2816,2299,3860481281,17325,8760,1840187247,2937,1854,2610307833,50014077,140001972,473,20262,12913,2750309805,50014550,10,658,656,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T17:03:29Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/arith.algo,build-bench/algo,RelWithDebInfo,24000000,15081690575,2908,2352,4316495431,17494,8775,2064197533,3101,1985,2776315004,108014784,160002613,536,20595,13112,2936317617,108015320,10,844,841,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-29T17:04:37Z,baseline,1854f83e8866414748ce7429d0bb9c3113d55753,unknown,bench/vars.algo,build-bench/algo,RelWithDebInfo,136000000,12854818988,3064,2370,3452530665,4017925,8791,972220548,2003491,2184,3044335370,217015837,244004644,478,6021416,13345,3288340014,217016315,10,905,903,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:06:29Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/arith.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,24000000,15081690621,2912,2355,4316495437,17509,8778,2064197535,3100,1982,2776315008,108014780,160002613,536,20609,13115,2936317621,108015316,10,848,843,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
2026-08-30T03:07:39Z,main,82a92b93d9374e7895c4a76e7fd0896530015a75,unknown,bench/fib32.algo,.worktrees/82a92b93d937/build-cfg/algo,RelWithDebInfo,2178309,15996279019,14101368,2476,4865407019,8306060,8808,2691601851,4988473,2445,2602060418,71103548,190329469,497,13294533,13729,2792389887,71104045,10,870,866,,,,aarch64,6.12.68-linuxkit,c++ (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,valgrind-3.22.0,sha256:33ceb71981b602c1a7443a53469e4dba065f7503eab3078a2d7a57a2ab987517
